Name,Neck Twist,Torso Twist,Shoulder Twist_R,Shoulder Flexion_R,F1,Shoulder abduction_R,neck right,Wrist Twist_R,Wrist Right.001_R,Torso Bend,Wrist Right_R,Wrist servo_R,neck left,F2,F3,Blank,Wrist servo_L.001,Wrist Right_L.001,Shoulder Twist_L.001,Shoulder abduction_L.001,Wrist Right.001_L.001,Wrist Twist_L.001,F1,F2,F3,Shoulder Flexion_L.001
Position_1,50,50,44,5,,86,50,50,50,50,50,6,50,,,,95,50,56,14,50,50,,,,95
Position_2,50,50,45,5,,86,50,50,50,50,50,6,50,,,,95,50,56,14,50,50,,,,95
Position_3,51,50,45,6,,86,50,50,50,50,50,6,50,,,,95,50,56,14,50,50,,,,95
Position_4,51,50,45,6,,86,50,50,50,50,50,7,50,,,,95,50,56,14,50,50,,,,95
Position_5,52,50,45,6,,85,50,50,50,50,50,7,50,,,,94,50,56,14,50,50,,,,95
Position_6,52,50,45,7,,85,50,50,50,50,50,8,50,,,,94,50,56,14,50,50,,,,95
Position_7,53,49,45,7,,84,50,50,49,50,49,9,50,,,,94,50,56,14,50,50,,,,95
Position_8,54,49,46,8,,84,50,50,49,50,49,10,50,,,,94,50,56,14,50,50,,,,95
Position_9,55,49,46,8,,83,50,50,49,50,49,11,50,,,,94,50,56,14,50,50,,,,95
Position_10,56,49,46,9,,83,50,50,49,50,49,13,50,,,,94,50,56,14,50,50,,,,95
Position_11,57,49,46,9,,82,50,50,48,50,48,14,50,,,,94,50,56,14,50,50,,,,95
Position_12,58,48,47,10,,81,50,50,48,50,48,15,50,,,,94,50,56,14,50,50,,,,94
Position_13,60,48,47,11,,80,50,50,48,50,48,17,50,,,,94,50,56,15,50,50,,,,94
Position_14,61,48,48,12,,80,50,50,48,50,48,19,50,,,,94,50,56,15,50,50,,,,94
Position_15,62,47,48,13,,79,50,50,47,50,47,20,50,,,,94,50,56,15,50,50,,,,94
Position_16,63,47,48,14,,78,50,50,47,50,47,22,50,,,,94,51,56,15,49,50,,,,94
Position_17,65,47,49,15,,77,50,50,46,50,46,24,50,,,,94,51,56,15,49,50,,,,94
Position_18,66,46,49,15,,76,50,50,46,50,46,26,50,,,,94,51,56,15,49,50,,,,94
Position_19,67,46,50,17,,75,50,50,46,50,46,28,50,,,,94,51,56,15,49,51,,,,94
Position_20,68,46,50,18,,74,50,50,45,50,45,30,50,,,,94,51,56,15,49,51,,,,94
Position_21,70,45,51,19,,73,50,50,45,50,45,32,50,,,,94,51,56,15,49,51,,,,94
Position_22,71,45,51,20,,72,50,50,45,50,44,35,50,,,,94,51,56,15,49,51,,,,94
Position_23,72,45,52,21,,71,50,50,44,50,44,37,50,,,,93,51,56,16,49,51,,,,94
Position_24,73,44,52,22,,69,50,50,44,50,44,39,50,,,,93,51,56,16,49,51,,,,94
Position_25,74,44,53,23,,68,50,50,43,50,43,41,50,,,,93,51,56,16,49,51,,,,94
Position_26,75,43,53,24,,67,50,50,43,50,43,44,50,,,,93,51,56,16,49,51,,,,94
Position_27,76,43,54,25,,66,50,50,42,50,42,46,50,,,,93,51,56,16,49,51,,,,94
Position_28,76,42,54,27,,65,50,50,42,50,42,48,50,,,,93,51,56,16,49,51,,,,94
Position_29,77,42,55,28,,64,50,50,41,50,41,51,50,,,,93,52,56,16,49,51,,,,94
Position_30,77,42,56,29,,62,51,50,41,50,41,53,49,,,,93,52,56,16,48,51,,,,93
Position_31,78,41,56,30,,61,51,50,40,50,40,56,49,,,,93,52,56,17,48,51,,,,93
Position_32,78,41,57,31,,60,51,50,40,50,40,58,49,,,,93,52,56,17,48,51,,,,93
Position_33,78,40,57,32,,59,52,50,40,50,39,60,48,,,,93,52,56,17,48,51,,,,93
Position_34,78,40,58,34,,58,52,50,39,50,39,63,48,,,,92,52,56,17,48,52,,,,93
Position_35,78,40,58,35,,57,53,50,39,50,38,65,47,,,,92,52,57,17,48,52,,,,93
Position_36,78,39,59,36,,56,53,50,38,50,38,67,47,,,,92,52,57,17,48,52,,,,93
Position_37,78,39,59,37,,54,54,50,38,50,37,70,46,,,,92,52,57,17,48,52,,,,93
Position_38,78,38,60,38,,53,54,50,37,50,37,72,46,,,,92,52,57,17,48,52,,,,93
Position_39,78,38,60,39,,52,54,50,37,50,36,74,46,,,,92,52,57,17,48,52,,,,93
Position_40,78,38,61,40,,51,55,50,36,50,36,76,45,,,,92,53,57,18,48,52,,,,93
Position_41,78,37,61,41,,50,55,50,36,50,35,78,45,,,,92,53,57,18,48,52,,,,93
Position_42,78,37,62,42,,49,56,50,36,50,35,80,44,,,,91,53,57,18,48,52,,,,93
Position_43,78,37,62,43,,48,56,50,35,50,34,82,44,,,,91,53,57,18,47,52,,,,93
Position_44,78,36,63,44,,47,56,50,35,50,34,84,44,,,,91,53,57,18,47,52,,,,93
Position_45,78,36,63,45,,46,56,50,34,50,33,86,44,,,,91,53,57,18,47,52,,,,93
Position_46,78,36,64,46,,45,56,50,34,50,33,88,44,,,,91,53,57,18,47,53,,,,93
Position_47,78,35,64,47,,45,57,50,34,50,33,89,43,,,,91,53,57,18,47,53,,,,93
Position_48,77,35,64,48,,44,56,50,33,50,32,91,44,,,,91,53,57,18,47,53,,,,93
Position_49,77,35,65,48,,43,56,50,33,50,32,92,44,,,,91,53,57,18,47,53,,,,93
Position_50,77,35,65,49,,42,56,50,33,50,32,94,44,,,,90,53,57,18,47,53,,,,93
Position_51,77,34,65,50,,42,56,50,32,50,31,95,44,,,,90,53,57,18,47,53,,,,93
Position_52,77,34,66,50,,41,56,50,32,50,31,96,44,,,,90,54,57,18,47,53,,,,93
Position_53,77,34,66,51,,41,55,50,32,50,31,97,45,,,,90,54,57,18,47,53,,,,93
Position_54,77,34,66,51,,40,55,50,32,50,30,98,45,,,,90,54,58,18,47,53,,,,93
Position_55,77,34,66,52,,40,54,50,31,50,30,99,46,,,,90,54,58,18,47,53,,,,93
Position_56,77,34,66,52,,39,54,50,31,50,30,100,46,,,,90,54,58,18,47,54,,,,93
Position_57,76,33,67,52,,39,53,50,31,50,30,100,47,,,,89,54,58,18,46,54,,,,93
Position_58,76,33,67,52,,39,52,50,31,50,30,100,48,,,,89,54,58,18,46,54,,,,93
Position_59,76,33,67,53,,39,52,50,31,50,29,100,48,,,,89,54,58,18,46,54,,,,93
Position_60,76,33,67,53,,39,51,50,31,50,29,100,49,,,,89,54,58,18,46,54,,,,93
Position_61,76,33,67,53,,39,50,50,31,50,29,100,50,,,,89,54,58,18,46,54,,,,93
Position_62,76,33,67,53,,39,50,50,31,50,29,100,50,,,,89,54,58,18,46,54,,,,93
Position_63,76,33,67,53,,39,49,50,31,50,29,100,51,,,,89,54,58,18,46,54,,,,93
Position_64,75,33,67,53,,39,48,50,31,50,30,100,52,,,,88,54,58,18,46,54,,,,93
Position_65,75,33,67,53,,39,48,50,31,50,30,100,52,,,,88,54,58,18,46,54,,,,93
Position_66,75,33,67,53,,39,47,50,32,50,30,100,53,,,,88,54,58,18,46,54,,,,93
Position_67,75,33,67,53,,39,47,50,32,50,31,99,53,,,,88,54,58,18,46,55,,,,93
Position_68,75,33,67,53,,39,46,50,33,50,31,97,54,,,,88,54,58,18,46,55,,,,93
Position_69,75,33,67,53,,39,46,50,34,50,32,96,54,,,,88,54,58,17,46,55,,,,93
Position_70,74,34,67,53,,39,45,50,35,50,33,94,55,,,,88,54,58,17,46,55,,,,93
Position_71,74,34,67,53,,39,45,50,35,50,33,92,55,,,,88,54,58,17,46,55,,,,93
Position_72,74,34,67,53,,39,45,50,36,50,34,90,55,,,,87,54,58,17,46,55,,,,93
Position_73,74,34,67,53,,39,44,50,37,50,35,88,56,,,,87,54,58,17,46,55,,,,93
Position_74,74,34,67,53,,39,44,50,39,50,36,86,56,,,,87,54,58,17,46,55,,,,93
Position_75,73,34,67,53,,39,44,50,40,50,37,84,56,,,,87,54,59,17,46,55,,,,93
Position_76,73,34,67,53,,39,44,50,41,50,38,81,56,,,,87,54,59,17,46,55,,,,93
Position_77,73,34,67,53,,39,44,50,42,50,38,79,56,,,,87,53,59,17,46,56,,,,94
Position_78,73,34,67,53,,39,45,50,43,50,39,76,55,,,,87,53,59,16,46,56,,,,94
Position_79,72,34,67,53,,39,45,50,44,50,40,74,55,,,,86,53,59,16,46,56,,,,94
Position_80,72,34,67,53,,39,45,50,45,50,41,71,55,,,,86,53,59,16,47,56,,,,94
Position_81,72,34,67,53,,39,46,50,47,50,42,69,54,,,,86,53,59,16,47,56,,,,94
Position_82,72,34,67,53,,39,46,50,48,50,43,66,54,,,,86,52,59,16,47,56,,,,94
Position_83,71,34,67,53,,39,47,50,49,50,44,64,53,,,,86,52,59,16,47,56,,,,94
