Name,Neck Twist,Torso Twist,Shoulder Twist_R,Shoulder Flexion_R,F1,Shoulder abduction_R,neck right,Wrist Twist_R,Wrist Right.001_R,Torso Bend,Wrist Right_R,Wrist servo_R,neck left,F2,F3,Blank,Wrist servo_L.001,Wrist Right_L.001,Shoulder Twist_L.001,Shoulder abduction_L.001,Wrist Right.001_L.001,Wrist Twist_L.001,F1,F2,F3,Shoulder Flexion_L.001
Position_1,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_2,50,50,44,5,,86,50,50,50,50,50,6,50,,,,94,50,56,14,50,50,,,,95
Position_3,50,50,45,5,,86,50,50,50,50,50,6,50,,,,94,50,55,14,50,50,,,,95
Position_4,50,50,45,6,,86,50,50,50,50,50,6,50,,,,94,50,55,14,50,50,,,,94
Position_5,50,50,45,6,,86,50,50,50,50,50,6,50,,,,94,50,55,14,50,50,,,,94
Position_6,50,50,45,6,,86,50,50,50,50,50,7,50,,,,93,50,55,14,50,50,,,,94
Position_7,50,50,45,6,,86,50,50,50,50,50,7,50,,,,93,50,55,14,50,50,,,,94
Position_8,50,50,45,6,,86,50,50,50,50,50,8,50,,,,92,50,55,14,50,50,,,,94
Position_9,50,50,46,7,,86,50,50,50,50,50,9,50,,,,91,50,54,14,50,50,,,,93
Position_10,50,50,46,7,,86,50,50,50,50,50,10,50,,,,90,50,54,14,50,50,,,,93
Position_11,50,50,46,8,,86,50,50,50,50,50,11,50,,,,89,50,54,14,50,50,,,,92
Position_12,50,50,47,8,,86,50,50,50,50,50,12,49,,,,88,50,53,14,50,50,,,,92
Position_13,50,50,47,9,,86,50,50,50,50,50,13,49,,,,87,50,53,14,50,50,,,,91
Position_14,50,50,47,9,,86,50,50,50,50,50,14,49,,,,86,50,53,14,50,50,,,,91
Position_15,49,50,48,10,,86,51,50,50,51,50,15,49,,,,85,50,52,14,50,50,,,,90
Position_16,49,50,48,10,,86,51,50,50,51,50,16,49,,,,84,50,52,14,50,50,,,,90
Position_17,49,51,49,11,,86,51,50,50,51,50,18,49,,,,83,50,51,14,50,50,,,,89
Position_18,49,51,49,12,,86,51,50,50,51,50,19,49,,,,81,50,51,14,50,50,,,,88
Position_19,49,51,50,12,,86,51,50,50,51,50,20,49,,,,80,50,50,14,50,50,,,,88
Position_20,49,51,50,13,,86,51,50,50,51,50,22,49,,,,78,50,50,14,50,50,,,,87
Position_21,49,51,51,14,,86,51,50,50,51,50,24,48,,,,77,50,49,14,50,50,,,,86
Position_22,49,51,51,15,,86,51,50,50,51,50,25,48,,,,75,50,49,14,50,50,,,,85
Position_23,49,51,52,15,,86,51,50,50,51,50,27,48,,,,74,50,48,14,50,50,,,,85
Position_24,49,51,52,16,,86,51,50,50,51,50,28,48,,,,72,50,48,14,50,50,,,,84
Position_25,49,51,53,17,,86,51,50,50,51,50,30,48,,,,70,50,47,15,50,50,,,,83
Position_26,48,51,54,18,,86,52,50,50,51,50,32,48,,,,68,50,46,15,50,50,,,,82
Position_27,48,51,54,19,,86,52,50,50,52,50,34,48,,,,67,50,46,15,50,50,,,,81
Position_28,48,51,55,19,,86,52,50,50,52,50,35,48,,,,65,50,45,15,50,50,,,,81
Position_29,48,51,55,20,,86,52,50,50,52,50,37,47,,,,63,50,45,15,50,50,,,,80
Position_30,48,51,56,21,,86,52,50,50,52,50,39,47,,,,61,50,44,15,50,50,,,,79
Position_31,48,52,57,22,,86,52,50,50,52,50,41,47,,,,60,50,43,15,50,50,,,,78
Position_32,48,52,57,23,,86,52,50,50,52,50,43,47,,,,58,50,43,15,50,50,,,,77
Position_33,48,52,58,24,,86,52,50,50,52,50,44,47,,,,56,50,42,15,50,50,,,,76
Position_34,48,52,59,25,,86,52,50,50,52,50,46,47,,,,54,50,41,15,50,50,,,,75
Position_35,47,52,59,26,,86,52,50,50,52,50,48,46,,,,52,50,41,15,50,50,,,,75
Position_36,47,52,60,26,,86,53,50,50,52,50,50,46,,,,51,50,40,15,50,50,,,,74
Position_37,47,52,61,27,,86,53,50,50,53,50,52,46,,,,49,50,39,15,50,50,,,,73
Position_38,47,52,61,28,,86,53,50,50,53,50,53,46,,,,47,50,39,15,50,50,,,,72
Position_39,47,52,62,29,,86,53,50,50,53,50,55,46,,,,45,50,38,15,50,50,,,,71
Position_40,47,52,62,30,,86,53,50,50,53,50,57,46,,,,44,50,38,15,50,50,,,,70
Position_41,47,52,63,31,,86,53,50,50,53,50,59,46,,,,42,50,37,15,50,50,,,,69
Position_42,47,52,64,31,,86,53,50,50,53,50,60,45,,,,40,50,36,15,50,50,,,,69
Position_43,47,53,64,32,,86,53,50,50,53,50,62,45,,,,39,50,36,15,50,50,,,,68
Position_44,47,53,65,33,,86,53,50,50,53,50,64,45,,,,37,50,35,15,50,50,,,,67
Position_45,46,53,65,34,,86,53,50,50,53,50,65,45,,,,35,50,35,15,50,50,,,,66
Position_46,46,53,66,34,,86,54,50,50,53,50,67,45,,,,34,50,34,16,50,50,,,,66
Position_47,46,53,66,35,,86,54,50,50,53,50,68,45,,,,32,50,34,16,50,50,,,,65
Position_48,46,53,67,36,,86,54,50,50,54,50,70,45,,,,31,50,33,16,50,50,,,,64
Position_49,46,53,67,37,,86,54,50,50,54,50,71,45,,,,30,50,33,16,50,50,,,,64
Position_50,46,53,68,37,,86,54,50,50,54,50,72,44,,,,28,50,32,16,50,50,,,,63
Position_51,46,53,68,38,,86,54,50,50,54,50,74,44,,,,27,50,32,16,50,50,,,,62
Position_52,46,53,69,38,,86,54,50,50,54,50,75,44,,,,26,50,31,16,50,50,,,,62
Position_53,46,53,69,39,,86,54,50,50,54,50,76,44,,,,25,50,31,16,50,50,,,,61
Position_54,46,53,69,39,,86,54,50,50,54,50,77,44,,,,24,50,31,16,50,50,,,,61
Position_55,46,53,70,40,,86,54,50,50,54,50,78,44,,,,23,50,30,16,50,50,,,,60
Position_56,46,53,70,40,,86,54,50,50,54,50,79,44,,,,22,50,30,16,50,50,,,,60
Position_57,46,53,70,41,,86,54,50,50,54,50,80,44,,,,21,50,30,16,50,50,,,,59
Position_58,45,53,71,41,,86,54,50,50,54,50,81,44,,,,20,50,29,16,50,50,,,,59
Position_59,45,53,71,41,,86,54,50,50,54,50,81,44,,,,19,50,29,16,50,50,,,,59
Position_60,45,53,71,42,,86,54,50,50,54,50,82,44,,,,19,50,29,16,50,50,,,,58
Position_61,45,53,71,42,,86,54,50,50,54,50,82,44,,,,18,50,29,16,50,50,,,,58
Position_62,45,53,71,42,,86,54,50,50,54,50,83,44,,,,18,50,29,16,50,50,,,,58
Position_63,45,53,71,42,,86,54,50,50,54,50,83,44,,,,18,50,28,16,50,50,,,,58
Position_64,45,53,72,42,,86,54,50,50,54,50,83,44,,,,18,50,28,16,50,50,,,,58
Position_65,45,53,72,42,,86,54,50,50,54,50,83,44,,,,18,50,28,16,50,50,,,,58
