Name,Neck Twist,Torso Twist,Shoulder Twist_R,Shoulder Flexion_R,F1,Shoulder abduction_R,neck right,Wrist Twist_R,Wrist Right.001_R,Torso Bend,Wrist Right_R,Wrist servo_R,neck left,F2,F3,Blank,Wrist servo_L.001,Wrist Right_L.001,Shoulder Twist_L.001,Shoulder abduction_L.001,Wrist Right.001_L.001,Wrist Twist_L.001,F1,F2,F3,Shoulder Flexion_L.001
Position_1,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_2,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_3,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_4,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_5,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_6,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_7,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_8,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_9,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_10,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_11,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_12,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_13,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_14,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_15,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_16,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_17,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_18,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_19,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_20,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_21,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_22,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_23,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_24,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_25,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_26,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_27,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_28,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_29,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_30,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
