Name,Neck Twist,Torso Twist,Shoulder Twist_R,Shoulder Flexion_R,F1,Shoulder abduction_R,neck right,Wrist Twist_R,Wrist Right.001_R,Torso Bend,Wrist Right_R,Wrist servo_R,neck left,F2,F3,Blank,Wrist servo_L.001,Wrist Right_L.001,Shoulder Twist_L.001,Shoulder abduction_L.001,Wrist Right.001_L.001,Wrist Twist_L.001,F1,F2,F3,Shoulder Flexion_L.001
Position_1,50,50,44,5,,86,50,50,50,50,50,5,50,,,,95,50,56,14,50,50,,,,95
Position_2,50,50,44,5,,86,50,50,50,50,50,6,50,,,,95,50,56,14,50,50,,,,95
Position_3,50,50,44,6,,86,50,50,50,50,50,6,50,,,,95,50,56,14,50,50,,,,95
Position_4,50,50,44,6,,86,50,50,50,50,50,6,50,,,,95,50,56,14,50,50,,,,95
Position_5,50,50,44,6,,86,50,49,50,50,50,6,50,,,,95,50,55,14,50,50,,,,95
Position_6,50,50,44,7,,86,50,49,50,50,50,7,50,,,,95,50,55,14,50,50,,,,95
Position_7,50,50,44,7,,86,50,49,50,50,50,7,50,,,,94,50,55,14,50,50,,,,95
Position_8,49,50,44,8,,86,50,48,50,50,50,8,50,,,,94,50,55,14,50,50,,,,95
Position_9,49,50,44,8,,86,50,48,50,50,50,8,50,,,,94,50,55,14,50,50,,,,95
Position_10,49,50,44,9,,86,51,47,51,50,50,9,49,,,,94,50,55,14,50,50,,,,95
Position_11,49,50,45,10,,85,51,47,51,50,50,10,49,,,,94,50,55,14,50,50,,,,95
Position_12,49,51,45,11,,85,51,46,51,50,50,10,49,,,,94,50,55,14,50,50,,,,95
Position_13,49,51,45,11,,85,51,45,51,50,50,11,49,,,,94,50,55,14,50,50,,,,94
Position_14,49,51,45,12,,85,51,45,51,50,51,12,49,,,,94,50,55,14,50,50,,,,94
Position_15,48,51,45,13,,85,51,44,51,50,51,13,49,,,,94,50,55,14,50,50,,,,94
Position_16,48,51,45,14,,85,51,43,51,50,51,14,49,,,,94,50,55,15,50,51,,,,94
Position_17,48,51,45,15,,85,51,42,51,50,51,15,49,,,,94,50,55,15,50,51,,,,94
Position_18,48,51,45,16,,85,52,42,52,51,51,16,48,,,,94,50,55,15,50,51,,,,94
Position_19,47,51,45,17,,84,52,41,52,51,51,17,48,,,,94,50,55,15,50,51,,,,94
Position_20,47,51,45,18,,84,52,40,52,51,51,18,48,,,,94,50,55,15,50,51,,,,94
Position_21,47,52,45,20,,84,52,39,52,51,51,19,48,,,,94,50,54,15,50,51,,,,94
Position_22,47,52,45,21,,84,52,38,52,51,51,20,48,,,,94,50,54,15,50,51,,,,94
Position_23,46,52,45,22,,84,52,37,52,51,51,21,48,,,,94,50,54,15,50,51,,,,94
Position_24,46,52,45,23,,84,53,36,53,51,51,22,47,,,,94,50,54,15,50,51,,,,94
Position_25,46,52,45,24,,83,53,35,53,51,51,24,47,,,,94,50,54,15,50,51,,,,94
Position_26,46,52,45,26,,83,53,34,53,51,52,25,47,,,,94,50,54,15,50,51,,,,94
Position_27,45,52,45,27,,83,53,33,53,51,52,26,47,,,,94,50,54,16,50,51,,,,94
Position_28,45,52,45,28,,83,53,32,54,51,52,27,47,,,,94,50,54,16,50,51,,,,94
Position_29,45,53,46,29,,83,54,31,54,51,52,28,46,,,,94,50,54,16,50,52,,,,94
Position_30,44,53,46,31,,82,54,30,54,51,52,29,46,,,,94,50,54,16,50,52,,,,94
Position_31,44,53,46,32,,82,54,29,54,51,52,31,46,,,,94,50,53,16,50,52,,,,94
Position_32,44,53,46,33,,82,54,28,54,51,52,32,46,,,,94,50,53,16,50,52,,,,94
Position_33,44,53,46,34,,82,54,28,55,52,52,33,46,,,,94,50,53,16,50,52,,,,94
Position_34,43,53,46,36,,82,55,27,55,52,52,34,45,,,,94,50,53,16,50,52,,,,93
Position_35,43,54,46,37,,82,55,26,55,52,53,35,45,,,,94,50,53,16,50,52,,,,93
Position_36,43,54,47,38,,81,55,25,55,52,53,37,45,,,,94,50,53,17,50,52,,,,93
Position_37,42,54,47,39,,81,55,24,56,52,53,38,45,,,,94,50,53,17,50,52,,,,93
