Name,Neck Twist,Torso Twist,Shoulder Twist_R,Shoulder Flexion_R,F1,Shoulder abduction_R,neck right,Wrist Twist_R,Wrist Right.001_R,Torso Bend,Wrist Right_R,Wrist servo_R,neck left,F2,F3,Blank,Wrist servo_L.001,Wrist Right_L.001,Shoulder Twist_L.001,Shoulder abduction_L.001,Wrist Right.001_L.001,Wrist Twist_L.001,F1,F2,F3,Shoulder Flexion_L.001
Position_1,50,50,45,5,,86,50,50,50,50,50,6,50,,,,94,50,56,14,50,50,,,,95
Position_2,50,50,45,5,,86,50,50,50,50,50,6,50,,,,94,50,56,14,50,50,,,,95
Position_3,50,50,45,5,,86,50,50,50,50,50,6,50,,,,93,50,56,14,50,50,,,,95
Position_4,50,50,46,6,,86,51,51,50,50,50,7,50,,,,92,50,56,14,50,50,,,,94
Position_5,50,50,46,6,,86,51,51,50,50,50,7,50,,,,91,50,57,14,50,50,,,,94
Position_6,50,51,47,6,,86,51,51,50,50,50,8,50,,,,90,50,57,14,50,50,,,,94
Position_7,50,51,47,6,,86,52,52,50,50,50,9,50,,,,89,50,58,14,50,50,,,,94
Position_8,50,51,48,6,,86,52,52,50,50,50,10,50,,,,87,50,59,14,50,49,,,,93
Position_9,50,51,49,6,,86,53,53,50,50,50,12,49,,,,86,50,59,14,50,49,,,,93
Position_10,50,51,50,7,,86,53,53,50,50,50,13,49,,,,84,50,60,14,50,49,,,,93
Position_11,50,52,51,7,,86,54,54,50,50,50,14,49,,,,83,50,61,14,50,49,,,,92
Position_12,50,52,52,7,,86,54,55,50,50,50,16,49,,,,81,50,62,14,50,49,,,,92
Position_13,50,52,54,7,,86,54,55,50,50,50,17,48,,,,79,50,62,14,50,48,,,,92
Position_14,50,52,55,8,,85,55,56,50,50,50,19,48,,,,77,50,63,14,50,48,,,,91
Position_15,50,53,56,8,,85,55,57,50,50,50,20,48,,,,75,50,64,14,50,48,,,,91
Position_16,51,53,57,8,,85,56,58,50,50,50,22,47,,,,73,50,65,14,50,47,,,,90
Position_17,51,53,58,8,,85,56,58,50,50,50,24,47,,,,71,50,65,14,50,47,,,,90
Position_18,51,54,60,9,,85,56,59,50,50,50,25,47,,,,70,50,66,14,50,47,,,,90
Position_19,51,54,61,9,,85,57,60,50,50,50,27,46,,,,68,50,66,14,50,46,,,,89
Position_20,51,54,62,9,,85,57,61,50,50,50,29,46,,,,66,50,67,14,50,46,,,,89
Position_21,51,55,63,10,,85,57,61,50,50,50,31,45,,,,65,50,67,14,50,45,,,,88
Position_22,51,55,65,10,,85,58,62,50,50,50,33,45,,,,63,50,68,14,50,45,,,,88
Position_23,51,56,66,10,,85,58,63,50,50,49,34,45,,,,62,50,68,14,51,44,,,,87
Position_24,52,56,67,10,,85,58,63,49,50,49,36,44,,,,61,49,68,14,51,44,,,,87
